,ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
26175,2304398-20231016,2926664,361790,3,"JS FORT GROUP, INC",JIMMY JOHN'S,2206 N CLYBOURN AVE 1,CHICAGO,IL,60614,32.0,,32-,,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2304398,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.921723463,-87.664763045,"(41.92172346276781, -87.66476304489882)"
26184,2872989-20231016,2926678,361790,18,"JS FORT GROUP, INC",JIMMY JOHNS,28 N CLARK ST 1,CHICAGO,IL,60602,34.0,,34-,,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2872989,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.882650868,-87.631052642,"(41.88265086811486, -87.63105264246144)"
26189,2536594-20230916,2922286,417706,1,"4C RIVERSIDE, LLC",PORTER KITCHEN AND DECK,150 N RIVERSIDE PLZ,CHICAGO,IL,60606,42.0,,42-,,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2536594,RENEW,,07/15/2023,08/15/2023,N,09/16/2023,09/15/2025,08/15/2023,08/16/2023,AAI,,,41.885089456,-87.638405594,"(41.88508945576888, -87.63840559417186)"
26190,2694820-20231016,2928144,463376,1,"TRUE SKIN CARE CENTER, P.C.","TRUE SKIN CARE CENTER, P.C.",845 N MICHIGAN AVE NINTH 925W,CHICAGO,IL,60611,2.0,,2-,,1010,Limited Business License,709,Miscellaneous Personal Services,2694820,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.898079921,-87.623945706,"(41.898079920503314, -87.6239457056618)"
26192,2934056-20231212,2934056,501340,1,938 FULTON LLC,BISOUS CHICAGO,938 W FULTON MARKET   1ST,CHICAGO,IL,60607,27.0,,27-,,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2934056,ISSUE,09/19/2023,09/19/2023,09/19/2023,Y,12/12/2023,12/15/2025,12/07/2023,12/12/2023,AAI,,,41.886860979,-87.651330353,"(41.88686097873574, -87.65133035297649)"
26195,2808467-20231016,2928393,478703,1,SPINCYCLE LAUNDROMAT LLC,SPINCYCLE LAUNDROMAT LLC,6200 N WESTERN AVE,CHICAGO,IL,60659,50.0,,50-,,4404,Regulated Business License,692 | 694 | 856,"Laundromat - Self Service | Laundry Service - Drop Off Only | Vending Machines (Sodas, Candy, Chips)",2808467,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,43.0,41.994181177,-87.689914219,"(41.99418117711277, -87.68991421917929)"
26198,2934057-20231212,2934057,501340,1,938 FULTON LLC,BISOUS CHICAGO,938 W FULTON MARKET   1ST,CHICAGO,IL,60607,27.0,,27-,,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2934057,ISSUE,09/19/2023,09/19/2023,09/19/2023,Y,12/12/2023,12/15/2025,12/12/2023,12/12/2023,AAI,,,41.886860979,-87.651330353,"(41.88686097873574, -87.65133035297649)"
26200,2934058-20231212,2934058,501340,1,938 FULTON LLC,BISOUS CHICAGO,938 W FULTON MARKET   1ST,CHICAGO,IL,60607,27.0,,27-,,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2934058,ISSUE,09/19/2023,09/19/2023,09/19/2023,Y,12/12/2023,12/15/2025,12/12/2023,12/12/2023,AAI,,,41.886860979,-87.651330353,"(41.88686097873574, -87.65133035297649)"
26206,2749811-20231016,2926505,348591,2,UNNI INC.,URBAN SNACK MART,4612 W 59TH ST,CHICAGO,IL,60629,13.0,,13-,,1010,Limited Business License,767,Retail Sales of General Merchandise and Non-Perishable Food,2749811,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.785732808,-87.738438323,"(41.785732807652394, -87.73843832268578)"
26207,2808102-20231016,2928382,478455,1,EL TRAGON LLC,EL TRAGON TAQUERIA,1234 N HALSTED ST  C,CHICAGO,IL,60642,27.0,,27-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2808102,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.904502107,-87.648266868,"(41.90450210717989, -87.64826686780404)"
26208,2209995-20231016,2926770,366672,1,CSC ALUMINUM & GLASS INC,CSC ALUMINUM & GLASS INC,1930 S FAIRFIELD AVE 2ND,CHICAGO,IL,60608,25.0,,25-,,4404,Regulated Business License,673,Home Repair Services,2209995,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.854504209,-87.694439879,"(41.8545042093149, -87.69443987907854)"
26209,2808649-20230916,2923439,478795,1,THE JADE VINE CO.,THE JADE VINE CO.,3806 W MONTROSE AVE GROUND STO,CHICAGO,IL,60618,33.0,,33-,,1010,Limited Business License,921,Retail Sales of Flowers,2808649,RENEW,,07/15/2023,08/15/2023,N,09/16/2023,09/15/2025,08/15/2023,08/16/2023,AAI,,,41.961113822,-87.723248818,"(41.961113821566144, -87.72324881791661)"
26219,2867336-20231016,2926674,361790,14,"JS FORT GROUP, INC",JIMMY JOHNS,1133 W TAYLOR ST,CHICAGO,IL,60607,34.0,,34-,,1006,Retail Food Establishment,781 | 1050,Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,2867336,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.869326793,-87.655494411,"(41.86932679251271, -87.6554944113851)"
26231,2536593-20230916,2922283,417706,1,"4C RIVERSIDE, LLC",PORTER KITCHEN AND DECK,150 N RIVERSIDE PLZ,CHICAGO,IL,60606,42.0,,42-,,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2536593,RENEW,,07/15/2023,08/15/2023,N,09/16/2023,09/15/2025,08/15/2023,08/16/2023,AAI,,,41.885089456,-87.638405594,"(41.88508945576888, -87.63840559417186)"
26232,2791971-20231016,2928272,475835,1,"LXG CHICAGO, LLC",HOLIDAY INN & SUITES,506 W HARRISON ST,CHICAGO,IL,60607,28.0,,28-,,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2791971,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,07/15/2025,08/15/2023,08/16/2023,AAI,,,41.874512154,-87.639864709,"(41.87451215422576, -87.63986470914409)"
26233,1272313-20231016,2925825,251135,1,HABERKAMP INDUSTRIES INC,CRAFT METAL SPINNING CO,4351 N NORMANDY AVE,CHICAGO,IL,60634,38.0,,38-,16.0,1009,Manufacturing Establishments,929,Miscellaneous Manufacturing,1272313,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.95980271,-87.793673652,"(41.95980270992918, -87.79367365152794)"
26247,2423600-20231016,2926311,318294,11,"NATIONAL VISION, INC.",AMERICA'S BEST CONTACTS & EYEGLASSES #5500,11750 S MARSHFIELD AVE 0,CHICAGO,IL,60643,21.0,,21-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2423600,RENEW,,08/15/2023,08/16/2023,N,10/16/2023,10/15/2025,08/16/2023,08/16/2023,AAI,,,41.679707856,-87.662586583,"(41.679707856092044, -87.66258658291267)"
26255,2595134-20231016,2926668,361790,8,"JS FORT GROUP, INC",JIMMY JOHN'S,974 W 35TH PL,CHICAGO,IL,60609,11.0,,11-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2595134,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.829764331,-87.650619898,"(41.82976433054541, -87.65061989801394)"
26256,2595122-20231016,2926667,361790,7,"JS FORT GROUP, INC",JIMMY JOHN'S,2810 N CLARK ST 1,CHICAGO,IL,60657,44.0,,44-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2595122,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,8.0,41.933059384,-87.645265843,"(41.93305938442793, -87.64526584295888)"
26257,2823382-20220325,2823382,481901,1,RAUL CAMPOS,GUSI'S PIZZA,10606 S TORRENCE AVE,CHICAGO,IL,60617,10.0,,10-,,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2823382,ISSUE,12/13/2021,02/14/2022,02/14/2022,N,03/25/2022,04/15/2024,03/25/2022,03/25/2022,AAI,,,41.702518088,-87.55974505,"(41.702518087781016, -87.55974504990618)"
26271,2803729-20230916,2923134,477876,1,JONI TATTOO INC,INKDOM TATTOO,805 W RANDOLPH ST 2 200,CHICAGO,IL,60607,27.0,,27-,,4404,Regulated Business License,828,Tattoo / Permanent Body Art and Make-Up / Micro Blading,2803729,RENEW,,07/15/2023,08/01/2023,N,09/16/2023,09/15/2025,08/15/2023,08/16/2023,AAI,,,41.884293663,-87.647667248,"(41.884293662559124, -87.64766724755735)"
26273,2872987-20231016,2926676,361790,16,"JS FORT GROUP, INC",JIMMY JOHNS,247 S STATE ST,CHICAGO,IL,60604,34.0,,34-,,1006,Retail Food Establishment,781 | 1050,Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,2872987,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,1.0,41.878312681,-87.62753416,"(41.8783126806928, -87.62753415970441)"
26279,2901507-20230816,2901507,495981,1,CHICAGO SUGAR DADDY PATISSERIE LLC,CHICAGO SUGAR DADDY PATISSERIE LLC,3243 N BROADWAY,CHICAGO,IL,60657,44.0,,44-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2901507,ISSUE,04/10/2023,04/10/2023,07/31/2023,N,08/16/2023,09/15/2025,08/15/2023,08/16/2023,AAI,,8.0,41.941294181,-87.644292006,"(41.94129418083914, -87.64429200618663)"
26281,2813978-20231016,2928696,480272,1,FINAL TOUCH DECORATING INC.,FINAL TOUCH DECORATING INC.,4744 W LAKE ST,CHICAGO,IL,60644,28.0,,28-,,4404,Regulated Business License,673,Home Repair Services,2813978,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.886665627,-87.744825963,"(41.886665626718695, -87.74482596283399)"
26283,2868071-20231016,2928817,489315,1,JAB TAK HAI JAAN INC,MR. P BEVERAGE DEPOT,2006 W DIVISION ST 1,CHICAGO,IL,60622,1.0,,1-,,1781,Tobacco,776,Retail Sales of Tobacco Products,2868071,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2024,08/15/2023,08/16/2023,AAI,,33.0,41.903294798,-87.677610948,"(41.90329479841468, -87.67761094821579)"
26288,2813708-20231016,2928667,480074,1,HONEYWIRED LLC,HONEYWIRED,1043 N DAMEN AVE 3,CHICAGO,IL,60622,1.0,,1-,,4404,Regulated Business License,665 | 667 | 702,Freelance Writer (Home Based Business) | Graphic Design (Home Based Business) | Marketing / Advertising / Public Relations (Home Based Business),2813708,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.900862821,-87.677046063,"(41.90086282138932, -87.67704606278187)"
26290,2918322-20230816,2918322,495241,2,SUFI DISHES LLC,SUFI DISHES,330 S MICHIGAN AVE  1709,CHICAGO,IL,60604,34.0,33.0,34-33,1.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2918322,ISSUE,07/06/2023,07/06/2023,07/06/2023,N,08/16/2023,09/15/2025,,08/16/2023,AAI,,,41.877526085,-87.624447316,"(41.8775260852497, -87.6244473157032)"
26293,2684873-20231016,2926670,361790,10,"JS FORT GROUP, INC",JIMMY JOHN'S 3106,721 S SEELEY AVE,CHICAGO,IL,60612,28.0,,28-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2684873,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.872527531,-87.677441696,"(41.87252753139634, -87.67744169620713)"
26297,2359092-20231016,2926309,318294,9,"NATIONAL VISION, INC.",AMERICA'S BEST CONTACTS & EYEGLASSES #5517,2661-2663 N ELSTON AVE 1ST,CHICAGO,IL,60647,32.0,,32-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2359092,RENEW,,08/15/2023,08/16/2023,N,10/16/2023,10/15/2025,08/16/2023,08/16/2023,AAI,,,41.930079981,-87.684545828,"(41.9300799810144, -87.68454582786292)"
26309,2536592-20230916,2922284,417706,1,"4C RIVERSIDE, LLC",PORTER KITCHEN AND DECK,150 N RIVERSIDE PLZ,CHICAGO,IL,60606,42.0,,42-,,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2536592,RENEW,,07/15/2023,08/15/2023,N,09/16/2023,09/15/2025,08/15/2023,08/16/2023,AAI,,,41.885089456,-87.638405594,"(41.88508945576888, -87.63840559417186)"
26319,2093646-20231016,2926662,361790,1,"JS FORT GROUP, INC",JIMMY JOHN'S,2231 N LINCOLN AVE FIRST,CHICAGO,IL,60614,43.0,,43-,,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2093646,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,35.0,41.92268911,-87.644693336,"(41.92268910988196, -87.64469333563137)"
26321,2863373-20231016,2926672,361790,12,"JS FORT GROUP, INC",JIMMY JOHN'S,812 W VAN BUREN ST,CHICAGO,IL,60607,34.0,,34-,,1006,Retail Food Establishment,781 | 1050,Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,2863373,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,16.0,41.876772487,-87.647788289,"(41.87677248678597, -87.6477882888083)"
26331,2120146-20231016,2926756,366517,1,"DE SENSI & ASSOCIATES, L.L.C.",TAX OFFICE,6842 W NORTH AVE 1ST,CHICAGO,IL,60707,29.0,,29-,,1010,Limited Business License,197,Tax Preparation Services,2120146,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.909113295,-87.796526365,"(41.90911329480137, -87.79652636530983)"
26340,2313659-20231016,2926834,366993,4,"ALLSTAR WIRELESS IL-3002, INC.",CRICKET WIRELESS,3711 W 26TH ST 1ST,CHICAGO,IL,60623,22.0,,22-,,1010,Limited Business License,922,Retail Sales of Cell Phones and Accessories,2313659,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,25.0,41.84423185,-87.717747705,"(41.84423185034047, -87.7177477051572)"
26348,2391415-20230416,2893989,397445,1,"NORVAX, LLC","NORVAX, LLC",214 W HURON ST 1,CHICAGO,IL,60654,42.0,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2391415,RENEW,,02/15/2023,03/30/2023,N,04/16/2023,04/15/2025,03/30/2023,03/31/2023,AAI,,,41.894891667,-87.634824988,"(41.89489166689937, -87.63482498843616)"
26349,2845549-20231016,2927827,430787,3,MYTHICAL SMOKES LLC,MYTHICAL SMOKES,27 E ADAMS ST,CHICAGO,IL,60603,34.0,,34-,,1781,Tobacco,767 | 776 | 936 | 937,Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Tobacco Products | Retail Sales of Tobacco Accessories | Retail Sales of Tobacco and Flavored Tobacco Products,2845549,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2024,08/15/2023,08/16/2023,AAI,,1.0,41.879394924,-87.62670264,"(41.87939492428689, -87.62670263979814)"
26351,2911663-20230816,2911663,497402,1,AMRIT FOODS LLC,SUBWAY,780 N MILWAUKEE AVE,CHICAGO,IL,60642,27.0,,27-,,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2911663,ISSUE,05/16/2023,05/16/2023,08/04/2023,N,08/16/2023,09/15/2025,08/15/2023,08/16/2023,AAI,,29.0,41.895796244,-87.654953596,"(41.89579624448361, -87.65495359564429)"
26353,2813108-20231016,2928565,479613,1,"INTELLIGENT FLYING MACHINES, INC.",ONETRACK.AI,100 S WACKER DR 16 1675,CHICAGO,IL,60606,42.0,,42-,,1010,Limited Business License,602,Administrative Commercial Office,2813108,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.880557025,-87.637131776,"(41.8805570251432, -87.63713177610846)"
26370,2813095-20231016,2928560,479579,1,"BBK ENTERPRISES, LLC",SBO BUZZ,1200 N ASHLAND AVE  203,CHICAGO,IL,60622,1.0,,1-,,1010,Limited Business License,703,Advertising / Marketing / Sales Office,2813095,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,33.0,41.903377468,-87.667643142,"(41.903377467566784, -87.66764314227497)"
26372,2845398-20231016,2926504,348591,2,UNNI INC.,URBAN SNACK MART,4612 W 59TH ST,CHICAGO,IL,60629,13.0,,13-,,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2845398,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.785732808,-87.738438323,"(41.785732807652394, -87.73843832268578)"
26376,2872990-20231016,2926679,361790,19,"JS FORT GROUP, INC",JIMMY JOHNS,225 N MICHIGAN AVE,CHICAGO,IL,60602,42.0,,42-,,1006,Retail Food Establishment,781 | 1050,Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,2872990,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.886377406,-87.62438167,"(41.88637740620821, -87.62438167043969)"
26377,2863374-20231016,2926673,361790,13,"JS FORT GROUP, INC",JIMMY JOHN'S,216 W WASHINGTON ST,CHICAGO,IL,60606,34.0,,34-,,1006,Retail Food Establishment,781 | 1050,Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,2863374,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/16/2023,AAI,,,41.883319559,-87.634379659,"(41.88331955933273, -87.63437965857405)"
26387,2813319-20240116,2942936,479815,1,ONE TRIBE LLC,TRIBE,1239 W LAKE ST 1ST FLOOR,CHICAGO,IL,60607,27.0,,27-,,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2813319,RENEW,,11/15/2023,01/11/2024,N,01/16/2024,01/15/2026,01/11/2024,01/22/2024,AAI,,,41.885370201,-87.658366649,"(41.88537020133907, -87.65836664932661)"
26411,2857023-20220707,2857023,487329,1,"CHICAGO BH HOSPITAL, LLC",MONTROSE BEHAVIORAL HEALTH HOSPITAL,4720 N CLARENDON AVE,CHICAGO,IL,60640,46.0,,46-,,4404,Regulated Business License,232,Operation of General Medical and Surgical Hospitals,2857023,ISSUE,07/06/2022,07/06/2022,07/06/2022,N,07/07/2022,07/15/2024,07/06/2022,07/07/2022,AAI,,34.0,41.968016539,-87.650233799,"(41.968016538867424, -87.65023379920969)"
26435,2948151-20240108,2948151,503694,1,TXA TXA CLUB,TXA TXA CLUB,3251 W FULLERTON AVE 2,CHICAGO,IL,60647,35.0,,35-,,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2948151,ISSUE,12/21/2023,12/26/2023,12/26/2023,N,01/08/2024,01/15/2026,,01/08/2024,AAI,,,41.924582913,-87.709535141,"(41.92458291257937, -87.70953514055968)"
26440,2511005-20230916,2922228,413201,1,1 DEARBORN TACOS LLC,DOS TOROS TAQUERIA,1 N DEARBORN ST MEZZ AND 1,CHICAGO,IL,60602,34.0,9.0,34-9,1.0,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2511005,RENEW,,07/15/2023,,N,09/16/2023,09/15/2025,10/31/2023,11/01/2023,AAI,,1.0,41.882029806,-87.629256444,"(41.88202980644916, -87.62925644446256)"
26472,2948649-20240108,2948649,252829,4,JOSE LOERA,JOSE LOERA,5427 S BISHOP ST 1ST,CHICAGO,IL,60609,20.0,21.0,20-21,9.0,4406,Peddler License,969,"Combination (Special)- Street Performer and Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers",2948649,ISSUE,01/08/2024,01/08/2024,01/08/2024,N,01/08/2024,08/15/2024,,01/08/2024,AAI,,,41.79508245,-87.660824547,"(41.79508245035013, -87.66082454709243)"
26477,2827826-20240116,2943219,482437,1,DAVID HOPKINS,DAVID HOPKINS,1202 W EDDY ST  GDN,CHICAGO,IL,60657,44.0,,44-,,7008,Shared Housing Unit Operator,981,Shared Housing Operator - Host of More Than One Shared Housing Unit,2827826,RENEW,,11/15/2023,01/07/2024,N,01/16/2024,01/15/2026,01/07/2024,01/08/2024,AAI,,,41.946330535,-87.659351463,"(41.94633053471304, -87.65935146295747)"
26487,2817236-20231116,2933570,480457,1,EZ SHWARMA LLC,EZ SHWARMA LLC,4638 N CUMBERLAND AVE,CHICAGO,IL,60656,38.0,,38-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2817236,RENEW,,09/15/2023,01/05/2024,N,11/16/2023,11/15/2025,01/05/2024,01/08/2024,AAI,,,41.964158072,-87.836837549,"(41.96415807203445, -87.83683754944124)"
26489,2757618-20240108,2757618,471192,1,TERESA GARCIA,DIVINE NUTRITION SPOT,5010 N PULASKI RD,CHICAGO,IL,60630,39.0,,39-,,1006,Retail Food Establishment,1050,Preparation and Sale of Coffee and/or Drinks,2757618,ISSUE,10/28/2020,10/28/2020,10/29/2020,N,01/08/2024,01/15/2026,01/08/2024,01/08/2024,AAI,,,41.9722451,-87.728287235,"(41.97224509999817, -87.7282872346895)"
26495,2943766-20240108,2943766,503187,1,THAI TACO LLC,THAI TACO,5815 N SHERIDAN RD  APT 804,CHICAGO,IL,60660,48.0,26.0,48-26,20.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2943766,ISSUE,11/29/2023,12/05/2023,12/05/2023,N,01/08/2024,01/15/2026,,01/08/2024,AAI,,,41.987828307,-87.655170782,"(41.98782830708625, -87.655170781532)"
26525,2704492-20240116,2942747,465045,1,ROUND TRIP RECORDS LLC,ROUND TRIP RECORDS,3455 W FOSTER AVE,CHICAGO,IL,60625,39.0,,39-,,1683,Secondhand Dealer,622 | 904,Buying and Reselling of Used Goods That Are Not Valuable (No Articles Made of Precious Metals or Precious Gems) | Retail Sales of General Merchandise,2704492,RENEW,,11/15/2023,01/07/2024,N,01/16/2024,01/15/2026,01/07/2024,01/08/2024,AAI,,,41.975557104,-87.715769977,"(41.97555710437833, -87.71576997726223)"
26526,2890757-20240108,2890757,493620,1,PAMELA MORALES FUENTES,PAMELA MORALES FUENTES,2315 W 19TH ST 1,CHICAGO,IL,60608,25.0,,25-,,7008,Shared Housing Unit Operator,981,Shared Housing Operator - Host of More Than One Shared Housing Unit,2890757,ISSUE,01/24/2023,01/24/2023,12/22/2023,N,01/08/2024,01/15/2026,01/05/2024,01/08/2024,AAI,,,41.855617022,-87.683963619,"(41.855617022127696, -87.68396361862119)"
26534,2767082-20230116,2881583,472594,1,JDM MECHANICAL INC.,JDM MECHANICAL INC.,7741 S KOMENSKY AVE 1 1,CHICAGO,IL,60652,18.0,,18-,,4404,Regulated Business License,674,Home Repair Services (Home Based Business),2767082,RENEW,,11/15/2022,12/28/2022,N,01/16/2023,01/15/2025,12/28/2022,01/08/2024,AAI,,,41.751936392,-87.72258021,"(41.75193639248123, -87.72258021048908)"
26591,2583346-20240316,2950683,425289,1,LATIN PLATE CATERING & EVENTS CORP.,LATIN PLATE CATERING & EVENTS CORP.,4121 W 58TH PL,CHICAGO,IL,60629,13.0,15.0,13-15,8.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2583346,RENEW,,01/15/2024,01/22/2024,N,03/16/2024,03/15/2026,,01/22/2024,AAI,,,41.78670343,-87.726312768,"(41.78670343034212, -87.72631276848844)"
26594,2813317-20231016,2928603,479814,1,GRACE PARK,MARINA CITY CLEANERS,300 N STATE ST LOWER LEVEL 1S,CHICAGO,IL,60654,42.0,,42-,,4404,Regulated Business License,631 | 648 | 694,Clothing Alterations | Dry Cleaning - Drop Off Location | Laundry Service - Drop Off Only,2813317,RENEW,,08/15/2023,01/08/2024,N,10/16/2023,10/15/2025,01/08/2024,01/09/2024,AAI,,,41.887557873,-87.628153065,"(41.88755787281287, -87.62815306467208)"
26598,2808229-20231016,2928385,478532,1,THAI POT NOODLES SHOP INC,THAI POT NOODLES SHOP INC,5689-5691 N MILWAUKEE AVE,CHICAGO,IL,60646,45.0,,45-,,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2808229,RENEW,,08/15/2023,01/08/2024,N,10/16/2023,10/15/2025,01/08/2024,01/09/2024,AAI,,,41.985048353,-87.776121571,"(41.985048352622336, -87.77612157068242)"
26602,2575497-20240116,2942076,367395,41,LUXOTTICA OF AMERICA INC.,SUNGLASS HUT #5530,10000 W O'HARE ST T-1 TERMINAL #,CHICAGO,IL,60666,41.0,,41-,,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,2575497,RENEW,,11/15/2023,01/08/2024,N,01/16/2024,01/15/2026,01/08/2024,01/09/2024,AAI,,,41.976201139,-87.905309125,"(41.97620113902387, -87.90530912510346)"
26604,2944027-20240109,2944027,503374,1,"THE FUNKY MONKEY JUICE BAR CO.,",THE FUNKY MONKEY JUICE BAR,11234 S CHURCH ST,CHICAGO,IL,60643,19.0,48.0,19-48,22.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2944027,ISSUE,12/07/2023,12/07/2023,12/07/2023,N,01/09/2024,01/15/2026,,01/09/2024,AAI,,,41.689582964,-87.666623748,"(41.68958296384188, -87.6666237478729)"
26624,2781253-20230416,2895148,474279,1,HUGO MERCHAN,MERCHAN SERVICE,4527 N SPAULDING AVE 1,CHICAGO,IL,60625,33.0,,33-,,4404,Regulated Business License,758,Residential Remodeling and Repair (Home Based Business),2781253,RENEW,,02/15/2023,01/08/2024,N,04/16/2023,04/15/2025,01/08/2024,01/09/2024,AAI,,,41.963806743,-87.710627562,"(41.96380674342947, -87.71062756169992)"
26678,2575496-20240116,2942075,367395,40,LUXOTTICA OF AMERICA INC.,SUNGLASS HUT #3411,10000 W O'HARE AVE T-3 TERMINAL #,CHICAGO,IL,60666,41.0,,41-,,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,2575496,RENEW,,11/15/2023,01/08/2024,N,01/16/2024,01/15/2026,01/08/2024,01/09/2024,AAI,,,41.976201139,-87.905309125,"(41.97620113902387, -87.90530912510346)"
